 1,  2,  0, 22, 24,  3, 12,  6,  7,  8,  9, 23, 28, 30, 26, 29, 31, 27, 25, 32
 1, 32, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 32
32,  2, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 32
14, 14, 14, 14, 14, 14,  4, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 32
 4,  4,  4,  4,  4,  4,  5,  4,  4,  4,  4,  4,  4,  4,  4,  4,  4,  4,  4, 32
 4,  4,  4,  4,  4, 13,  5,  4,  4,  4,  4,  4,  4,  4,  4,  4,  4,  4,  4, 32
16, 16, 16, 16, 16, 16, 16, 16, 16, 15, 16, 16, 16, 16, 16, 16, 16, 16, 16, 32
18, 18, 18, 18, 18, 18, 18, 18, 18, 17, 18, 18, 18, 18, 18, 18, 18, 18, 18, 32
20, 20, 20, 20, 20, 20, 20, 20, 20, 19, 20, 20, 20, 20, 20, 20, 20, 20, 20, 32
32, 32, 32, 32, 32, 32, 32, 32, 32, 21, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32
